,Unnamed: 0,issuekey,title,description,storypoint,project
21,21,TISTUD-64,implement tiappxml validation,as an example see httpdeveloperappceleratorcomquestion114521errorerrorgener,1,appceleratorstudio
420,440,TISTUD-1523,fail jenkins build if studio contains jdt plugins,as a way of keeping ourselves from accidentally releasing jdt into the wild as part of studio we need to fail the aptana studio and titanium studio builds if either the plugin or standalone versions come packaged with the jdt plugins this prevents halfbaked jdt installs which hen keep a user from later installing the whole jdt proper for module development,8,appceleratorstudio
595,616,TISTUD-1870,content assist for in js files,as an example code code you would then define a controller named indexjs and you could automatically bind events inline in your controller code code baddeventlistener alert index is the default variable for a toplevel container inside the indexxml indexopen code so we would need introspection on the items defined in the xml and display them appropriately in the content assist for the js files,8,appceleratorstudio
2547,2590,TISTUD-7210,create release notes provider for appcelerator unified cli,as access to changelogmd will be restricted for the appccli project we need a different mechanism to read release notes probably from a different uri,5,appceleratorstudio
3434,3526,APSTUD-4944,jslint inside aptana runs far slower than on the command line,as a check time the approximate time it takes to lint extdebugalljs create a new web project add extdebugalljs into the project turn jslint on as a build validator clean the project time how long it takes to finish indexing it will be about 200 seconds for me now download httpcodegooglecompjslint4java and run from the command line make sure to use java jar jslint4java202jar maxerr 1000 extalldebugjs to replicate the same number of warnings as we output it runs in a fraction of the time,8,aptanastudio
3790,3969,BAM-6872,if ajsconglomeratecookie gets too big web servers will report http error 413,as an administrator edits the plans the ajsconglomeratecookie stores the ui history however bamboo is not resetting the cookie value often enough to avoid it getting too big this causes the webapp server to report http error 413,2,bamboo
3968,4202,BAM-10438,functional test testreportingtest tests are not being run and must be updated for the new source repository code,as above testreportingtest is not being run in the ci tests it still uses all the old source repo code so must be updated before it is reincluded,2,bamboo
4187,4440,CLOV-1357,as an administrator i need to monitor clover usage on machines,as a system administrator i need to have a way to track down usage of clover licenses within my organization in order to make sure that clover is not installed or used on more machines than the license allows to currently there is no tool for this purpose and the only indirect way is to scan for clover license files one of possible solutions add the environment variable which will enable tracking of clover license usage such variable could be set on all machines in users profiles by system administrator the variable would point to the url which will collect data about license usage eg noformat dcloverlicenseusageurlhttppathtowebservercloverphpsomeoptions noformat whenever code instrumentation or report generation is performed and the environment variable is defined clover will connect to the specified url using simple http get request it would be up to the system administrator to collect data from such http get requests options of http get noformat licenseidabcdeflicenseexpirydateyyyymmddmaintenanceexpirydateyyyymmddorganisationcompanynamenumberofusersnnlicensetypenamedesktop_or_server noformat scope clover core,13,clover
4261,4515,CLOV-1496,reduce report size,as a developer id like to have small report size in order to reduce disk space consumption especially in case of builds on ci server possible ways to reduce report size 1 extract list of packages to separate json file and load it dynamically using js function done 2 use some compression utility performance of the compressor is unacceptable 3 remove whitespace from most frequent loops from velocity templates done,3,clover
5950,6463,DM-3133,add dax_ prefix to data access related packages,as agreed at data access mtg 20150713 add dax_ prefix towebserv webservcommon webserv_client dbserv imgserv metaserv,1,datamanagement
